id,date,kwic,before,after
nla.obj-132969462,1881-07-09,"nce asked, “ What about the assisting of Ger- man immigrants?” “Oh,"" replied the statesman, “ that’s a matter ",the|assisting|of|Ger|man,Oh|replied|the|statesman|that
nla.obj-132978023,1881-07-23,"ondon, arrived in Port Jackson on Sunday with 395 immigrants. 187 tons quartz, No. 1 North Phoenix, Gympie, ga",Jackson|on|Sunday|with|395,187|tons|quartz|No|1
nla.obj-132984198,1881-07-30,"-pox at Chinese ports, its actual introduction by immigrants of that race at the Sandwich Islands, and the ext",ports|its|actual|introduction|by,of|that|race|at|the
nla.obj-132984198,1881-07-30,"h of Protection. During the present year, 261,000 immigrants from the United Kingdom have lauded in New York. ",the|present|year|261|000,from|the|United|Kingdom|have
nla.obj-134068875,1881-10-01,"rning 30 days for the late President Garßeld. 377 immigrants arrived by the Ninovah, 22nd inst Large numbers o",the|late|President|Garßeld|377,arrived|by|the|Ninovah|22nd
nla.obj-134071527,1881-10-15, was ready to accept an appointment. We want more immigrants. Sir Henry. * * # John Sands’ establishment also ,an|appointment|We|want|more,Sir|Henry|John|Sands|establishment
nla.obj-134071527,1881-10-15," is eoneocted. If not, why not ? A party of Irish immigrants, enquiring at Coota- mundra the coach fare to Tom",not|A|party|of|Irish,enquiring|at|Coota|mundra|the
nla.obj-134071527,1881-10-15,rres Straits (Queensland) mail steamer brings 200 immigrants to i Eo ?i k n^ mpton al i d Ot o er Northern por,Queensland|mail|steamer|brings|200,to|i|Eo|i|k
nla.obj-134071527,1881-10-15,"turned The Northampton, new en voyage, brings 361 immigrants—the first lot under the new regulations. They pay",new|en|voyage|brings|361,the|first|lot|under|the
nla.obj-134979160,1881-11-19,"ensland, 1-Jolfs after his people. A ship-load of immigrants, on landing the other day, found a tea spread for",people|A|ship|load|of,on|landing|the|other|day
nla.obj-134979160,1881-11-19,"nter, and grog at the other. The Marquis do Ray’s immigrants, quartered in the Domain, cost tho cdonv £7Bl 6s.",The|Marquis|do|Ray|s,quartered|in|the|Domain|cost
nla.obj-191506022,1882-02-04,he Daily Northern Argus complains that the female immigrants hitherto introduced by Govern- ment to Queensland,Argus|complains|that|the|female,hitherto|introduced|by|Govern|ment
nla.obj-198913066,1882-04-08,"p the Manchester Town Hull di5c0vered......43,000 immigrants landed in New York during March TO CORRESPONDENTS",Town|Hull|di5c0vered|43|000,landed|in|New|York|during
nla.obj-211024789,1882-04-22,"ship Samuel Plimsoll has left for Sydney with 405 immigrants Mr. Laidlaw, of Wootong Nale, Vic., was bitten in",left|for|Sydney|with|405,Mr|Laidlaw|of|Wootong|Nale
nla.obj-237284283,1882-07-29,r as to say ; •• The Irish Catholics are our best immigrants ; from them we gel all our most efficient policem,Irish|Catholics|are|our|best,from|them|we|gel|all
nla.obj-237284863,1882-08-12,ess the evidences of their contempt. Unless these immigrants qualify their transports of con- scious superiori,of|their|contempt|Unless|these,qualify|their|transports|of|con
nla.obj-237295049,1882-08-26,"eu on tbe out- **■l7)7 if 1, thi Sill'll Tt carry immigrants, aud have m denial *J3) aan la; o.i for second cl",thi|Sill|ll|Tt|carry,aud|have|m|denial|J3
nla.obj-237295049,1882-08-26,e. ✓ Half the pop dec: ii a I);I > tu single-girl immigrants. This wai sHiioD A m > a and the snip’s piamvwas ,I|I|tu|single|girl,This|wai|sHiioD|A|m
nla.obj-237805579,1882-10-28," the public estate. No new-comers, either moneyed immigrants, or those of a working* farmer class, can get lan",No|new|comers|either|moneyed,or|those|of|a|working
nla.obj-237806521,1882-11-18,"emark “ that they are the most respectable lot of immigrants wo have ever seen acive in this port."" Now that t",the|most|respectable|lot|of,wo|have|ever|seen|acive
nla.obj-237806521,1882-11-18,"l be remembered, recently brought out a number of immigrants to Queensland, and from what has transpired at Ro",brought|out|a|number|of,to|Queensland|and|from|what
nla.obj-237813114,1882-12-02," in favour of immigration so long as the class of immigrants is such as would bo beneficial to the eountiy, bu",long|as|the|class|of,is|such|as|would|bo
nla.obj-237820450,1882-12-23," Tho corps worked with spirit, kut a?, blindly as immigrants ou a voy ags out in times of emergency. A rope wa",spirit|kut|a|blindly|as,ou|a|voy|ags|out
nla.obj-237864860,1883-02-10,"Peter in Prison.—Frank Warden in quod. About 1600 immigrants ufljat, for Sydney. Menmuir arrived at Cooktown, ",Warden|in|quod|About|1600,ufljat|for|Sydney|Menmuir|arrived
nla.obj-237856136,1883-02-17, with the Canadian “land enterprise.” The English immigrants who were induced io go out fo the Dominion by the,Canadian|land|enterprise|The|English,who|were|induced|io|go
nla.obj-237856136,1883-02-17,editor. . The Melpomene dropped over four hundred immigrants in Rockhampton recently. On the first night in th,Melpomene|dropped|over|four|hundred,in|Rockhampton|recently|On|the
nla.obj-237859177,1883-02-24,"oast by the mail steamers from London which carry immigrants for the Queensland Government, are provided with ",steamers|from|London|which|carry,for|the|Queensland|Government|are
nla.obj-237859177,1883-02-24,"ER. Eighty navvies have arrived at Townsville, as immigrants, under special agreement for 12 months,with Messr",have|arrived|at|Townsville|as,under|special|agreement|for|12
nla.obj-237859177,1883-02-24,"er for Mudgee. • • • Gtmpie Miner says the Coolie immigrants are a complete failure—loafing, cadging, skulking",Gtmpie|Miner|says|the|Coolie,are|a|complete|failure|loafing
nla.obj-237859177,1883-02-24,at wj want here (with thoiaudlaw alteron) is 1 00 immigrants a week Tno treasurer of the muri-mnJ Vietor.an Go,thoiaudlaw|alteron|is|1|00,a|week|Tno|treasurer|of
nla.obj-238171680,1883-04-21,"rtist, one Hideous. One of the nigger (Cingalese) immigrants to Rockhampton is a lawyer’s clerk. The lawyer’s ",One|of|the|nigger|Cingalese,to|Rockhampton|is|a|lawyer
nla.obj-238171680,1883-04-21,"to any members of the Legislature. All the female immigrants—cooks, and so on — of the Cicero (Adelaide) were ",the|Legislature|All|the|female,cooks|and|so|on|of
nla.obj-238171680,1883-04-21,he immigration vote for the importation of Qarman immigrants Reported that the railway lino between Parramatta,for|the|importation|of|Qarman,Reported|that|the|railway|lino
nla.obj-243311026,1883-05-12,"eries of years, direct dealings with thousands of immigrants. If he were an habitually cantankerous man, his d",direct|dealings|with|thousands|of,If|he|were|an|habitually
nla.obj-243311026,1883-05-12, not only w.nt through the routine form of asking immigrants the stereotyped ‘‘any complaints? ’ bat he mingle,the|routine|form|of|asking,the|stereotyped|any|complaints|bat
nla.obj-238084712,1883-05-26, should be shown that there had been geniality to immigrants in general. The Bulletin New Series. So far as we,there|had|been|geniality|to,in|general|The|Bulletin|New
nla.obj-238084712,1883-05-26," of the nott earnings to go to the colony; twenty immigrants for every mile of railway to be introduced, and £",go|to|the|colony|twenty,for|every|mile|of|railway
nla.obj-238084712,1883-05-26, should be shown that there had been geniality to immigrants in general. The Bulletin New Series. So far ns we,there|had|been|geniality|to,in|general|The|Bulletin|New
nla.obj-238084712,1883-05-26," of the nett earnings to go to the colony; twenty immigrants for every mile of railway to be introduced, and £",go|to|the|colony|twenty,for|every|mile|of|railway
nla.obj-238091837,1883-06-02,ill never amount to much until we have n thousand immigrants arriving every week and pushing out to settle dow,until|we|have|n|thousand,arriving|every|week|and|pushing
nla.obj-238091837,1883-06-02,nce has shewn that the proportion of angels among immigrants is (to say the least) limited. There are too many,the|proportion|of|angels|among,is|to|say|the|least
nla.obj-238091837,1883-06-02,ill never amount to much until we have a thousand immigrants arriving every week find pushing out to settle do,until|we|have|a|thousand,arriving|every|week|find|pushing
nla.obj-238091837,1883-06-02,nce has shewn that the proportion of angels among immigrants Is (to say the least) limited. There are too many,the|proportion|of|angels|among,Is|to|say|the|least
nla.obj-238113346,1883-06-09,true philanthropist and announces to tho starving immigrants the dlsoovery by him of a new edible in the shape,and|announces|to|tho|starving,the|dlsoovery|by|him|of
nla.obj-238113346,1883-06-09,true philanthropist and announces to the starving immigrants the discovery by him of a now edible in the shape,and|announces|to|the|starving,the|discovery|by|him|of
nla.obj-238188519,1883-06-16,versary.” Ellora arrived at Sydney on Monday; 310 immigrants; five died on passage —41 rabbit districts—and in,at|Sydney|on|Monday|310,five|died|on|passage|41
nla.obj-238189366,1883-06-23,"ide, a few days ago condemned the introduction of immigrants, and advocated the employment of colonial materia",ago|condemned|the|introduction|of,and|advocated|the|employment|of
nla.obj-238189366,1883-06-23,"OR WORKS, QUEENSLAND the introduction of assisted immigrants And were we iron-workers, we should most determin",QUEENSLAND|the|introduction|of|assisted,And|were|we|iron|workers
nla.obj-238189366,1883-06-23,"lating an anecdote.. .“Samuel Plimsoll,” with 427 immigrants, arrived in Sydney on Sunday. .... Adelaide jury’",anecdote|Samuel|Plimsoll|with|427,arrived|in|Sydney|on|Sunday
nla.obj-238189366,1883-06-23,"ide, a few days ago condemned the Introduction of immigrants, and advocated the employment of colonial materia",ago|condemned|the|Introduction|of,and|advocated|the|employment|of
nla.obj-238189366,1883-06-23,"uld decidedly oppose the introduction of assisted immigrants And were we iron-workers, we should most determin",oppose|the|introduction|of|assisted,And|were|we|iron|workers
nla.obj-238189366,1883-06-23,"lating an anecdote.. .“Samuel Plimsoll,” with 437 Immigrants, arrived in Sydney on Sunday. .... Adelaide jury’",anecdote|Samuel|Plimsoll|with|437,arrived|in|Sydney|on|Sunday
nla.obj-238194434,1883-07-07, Smyrna sailed from Plymouth last Friday with 441 immigrants for N.S. Wales. Undersigned have been appointed r,Plymouth|last|Friday|with|441,for|N|S|Wales|Undersigned
nla.obj-238194434,1883-07-07, Smyrna sailed from Plymouth last Friday with 441 immigrants for N.S. Wales. Undersigned have been appointed r,Plymouth|last|Friday|with|441,for|N|S|Wales|Undersigned
nla.obj-238200517,1883-07-21,"ldren were with him at the time—121 single female immigrants arrived at Port Chalmers the other day, and, acco",the|time|121|single|female,arrived|at|Port|Chalmers|the
nla.obj-238218329,1883-08-04,"re now on the water, bound for More- ton Bay, 957 immigrants. If Forbes was right, the Brisbane army of street",for|More|ton|Bay|957,If|Forbes|was|right|the
nla.obj-238218329,1883-08-04,"king inquisition into the antecedents of assisted immigrants Yesterday, the new parcels poet system came Into ",into|the|antecedents|of|assisted,Yesterday|the|new|parcels|poet
nla.obj-238280298,1883-08-25,"e, and the amount of the probable cost. As a rule immigrants do not bring over much cash with them, and in the",probable|cost|As|a|rule,do|not|bring|over|much
nla.obj-238287405,1883-09-08,"alian society con- sists of—firstly, the original immigrants of 1839 and such few immigrants since as have rem",sists|of|firstly|the|original,of|1839|and|such|few
nla.obj-238287405,1883-09-08,"tly, the original immigrants of 1839 and such few immigrants since as have remained with- out Hitting eastward",of|1839|and|such|few,since|as|have|remained|with
nla.obj-238309459,1883-11-10,"ther day, to protest against the land ing of some immigrants whoi are Hi on board thei: ship, one speakei anno",the|land|ing|of|some,whoi|are|Hi|on|board
nla.obj-238312724,1883-11-17,ns somewhat hlocupplngly a welcome to New Zealand immigrants “if they are well to do.” Says this downy boy:— “,a|welcome|to|New|Zealand,if|they|are|well|to
nla.obj-238312724,1883-11-17,"or the £lO a head, as by law imposed on pig- tail immigrants. The Chinamen hadn’t a copper, and were forthwith",law|imposed|on|pig|tail,The|Chinamen|hadn|t|a
nla.obj-238317950,1883-12-01,"tion .Queensland Papers crying out about assisted immigrants cross- ug the border into N. S. Wales, or leaving",Papers|crying|out|about|assisted,cross|ug|the|border|into
nla.obj-238323849,1883-12-08,ns the G.T. is El-worthy Newly arrived Queensland immigrants are complain- ing that they can find no employmen,El|worthy|Newly|arrived|Queensland,are|complain|ing|that|they
nla.obj-238404718,1884-01-26,"e were the joyous young days of the eolor>y, when immigrants were pouring in in shoals and spouting their land",of|the|eolor|y|when,were|pouring|in|in|shoals
nla.obj-238404718,1884-01-26,se were the joyous young days of the colony- when immigrants were pouring in in shoals and spouting their land,days|of|the|colony|when,were|pouring|in|in|shoals
nla.obj-238406867,1884-02-02,gradual change. Some time ago the introduction of immigrants by the State was met by indignation a Vout ranee.,time|ago|the|introduction|of,by|the|State|was|met
nla.obj-238406867,1884-02-02,gradual change. Some time ago the introduction of immigrants by the State was met by indignation n Voulranee. ,time|ago|the|introduction|of,by|the|State|was|met
nla.obj-238423893,1884-02-16,"rim Fathers, yet more imposing in number than the immigrants of the Mayflower—these voyagers were known as the",imposing|in|number|than|the,of|the|Mayflower|these|voyagers
nla.obj-238423893,1884-02-16,"rim Fathers, yet more imposing in number than the immigrants of the Mayflower—these voyagers were known as the",imposing|in|number|than|the,of|the|Mayflower|these|voyagers
nla.obj-238449404,1884-03-01,ade regarding the treatment of Indian and Chinese immigrants led to the appointment of a Royal Commission. “ W,treatment|of|Indian|and|Chinese,led|to|the|appointment|of
nla.obj-238449404,1884-03-01,ade regarding the treatment of Indian and Chinese immigrants led to the appointment of a Royal Commission. “ W,treatment|of|Indian|and|Chinese,led|to|the|appointment|of
nla.obj-238468911,1884-03-22,"hip Company, arrived last week in Sydney with 623 immigrants on board. During the passage from Plymouth, seven",week|in|Sydney|with|623,on|board|During|the|passage
nla.obj-238468911,1884-03-22,"hip Company, arrived last week in Sydney with 633 immigrants on board. During the passage from Plymouth, seven",week|in|Sydney|with|633,on|board|During|the|passage
nla.obj-238509543,1884-04-19,"ia, s s., arrived in Port Jackson lately with 594 immigrants. No serious sickness on the voyage ; but over cro",Port|Jackson|lately|with|594,No|serious|sickness|on|the
nla.obj-238509543,1884-04-19,"ia, s s., arrived in Port Jackson lately with 594 immigrants. No serious sickness on the voyage ; but over cro",Port|Jackson|lately|with|594,No|serious|sickness|on|the
nla.obj-239417927,1884-05-10,"ht want another overcoat, don’t you see ? Parkes’ Immigrants. Alf. Moynham swallowed his foot last night. He s",don|t|you|see|Parkes,Alf|Moynham|swallowed|his|foot
nla.obj-239417927,1884-05-10,"iths and the child of Nature, Thackamban. Parkes’ Immigrants.   The Referee. SPORTING AND ATHLETIC MEMS. The M",child|of|Nature|Thackamban|Parkes,The|Referee|SPORTING|AND|ATHLETIC
nla.obj-239426478,1884-05-31,"sed along until they reach the bounds of beggary. Immigrants are wanted here, but they must be made cf sterner",reach|the|bounds|of|beggary,are|wanted|here|but|they
nla.obj-239426478,1884-05-31,"sed along until they reach the bounds of beggary. Immigrants are wanted here, but they must be madect sterner ",reach|the|bounds|of|beggary,are|wanted|here|but|they
nla.obj-239431316,1884-06-14, in the hearts of bis fellow men— whether they be immigrants at the Barracks or Darling Pointers simmering in ,fellow|men|whether|they|be,at|the|Barracks|or|Darling
nla.obj-239431316,1884-06-14, in the hearts ot bis fellow men— whether they be immigrants at the Barracks or Darling Pointers simmering in ,fellow|men|whether|they|be,at|the|Barracks|or|Darling
nla.obj-239492170,1884-11-08,"and has, within our own memory, been what Chinese immigrants are to the handicraftsmen of Australia and of Cal",own|memory|been|what|Chinese,are|to|the|handicraftsmen|of
nla.obj-239492170,1884-11-08,"and has, within our own memory, been what Chinese immigrants are to the handicraftsmen of Australia and of Cal",own|memory|been|what|Chinese,are|to|the|handicraftsmen|of
nla.obj-239509754,1884-12-20,"how, they’ll find there’s plenty of room for more immigrants; and. if there are such places as Hell and Irelan",plenty|of|room|for|more,and|if|there|are|such
nla.obj-239509754,1884-12-20,"how, they’ll find there’s plenty of room for more immigrants; and. if there are such places as Hell and Irelan",plenty|of|room|for|more,and|if|there|are|such
nla.obj-239579670,1885-04-25,".S., SHOULD HAVE THE FIRST PICK AND CHOICE OF THE IMMIGRANTS WHOSE PASSAGE TO THE COLONY IS PAID By THE COMMON",PICK|AND|CHOICE|OF|THE,WHOSE|PASSAGE|TO|THE|COLONY
nla.obj-239579670,1885-04-25,"eneral piy Is what “ G.F.S.” cannot deny, And the immigrants fairly may say: 11 We’re all equal—what’s she mor",S|cannot|deny|And|the,fairly|may|say|11|We
nla.obj-239579670,1885-04-25,", For surely I need it far more.” Then equal, let Immigrants stand. And those that their services seek Shut ou",far|more|Then|equal|let,stand|And|those|that|their
nla.obj-239587952,1885-05-23,"shop with regard to the land orders of individual immigrants William O’Carroll, who never feared the face of m",the|land|orders|of|individual,William|O|Carroll|who|never
nla.obj-239587952,1885-05-23, what he re- garded as unfair despoilment of poor immigrants just landed in a strange country; and he carried ,as|unfair|despoilment|of|poor,just|landed|in|a|strange
nla.obj-239681721,1885-06-27,d. They do not show that English trade or English immigrants would fall off if the colonies were independent. ,that|English|trade|or|English,would|fall|off|if|the
nla.obj-239692480,1885-08-01, What will the syndicate do with them ? Bring out immigrants and rent the houses to them. si o • Mr. Healey is,do|with|them|Bring|out,and|rent|the|houses|to
nla.obj-239694833,1885-08-08,"is, of course. But the countries from which these immigrants came in hundreds of thousands were not even tempo",the|countries|from|which|these,came|in|hundreds|of|thousands
nla.obj-239719045,1885-10-10,885. Wright or Wrong. Should any of the ingenious immigrants who once joined hands to form the famous “ Boss T,Should|any|of|the|ingenious,who|once|joined|hands|to
nla.obj-239719045,1885-10-10,"r to have any objection to British aristocrats as Immigrants, provided they cross the Atlantic with full pocke",objection|to|British|aristocrats|as,provided|they|cross|the|Atlantic
nla.obj-239721958,1885-10-17,"iscal policy in neither. NeW South Wales attracts immigrants, just as America does, because she has still plen",neither|NeW|South|Wales|attracts,just|as|America|does|because
nla.obj-239721958,1885-10-17," its owners are holding it for higher prices, and immigrants are forced past this unused land to seek homes wh",it|for|higher|prices|and,are|forced|past|this|unused
nla.obj-239759702,1885-11-21,"tain that she would not put a poll-tax on English immigrants, but welcome them. The Englishman in the United S",a|poll|tax|on|English,but|welcome|them|The|Englishman
nla.obj-239759702,1885-11-21,e employed at half-time. Nor will the unfortunate immigrants b j able to find any place throughout the length ,time|Nor|will|the|unfortunate,b|j|able|to|find
nla.obj-239761519,1885-11-28,fined to the fast-disappearing remnant of elderly immigrants. When they go the jealousy will probably go with ,fast|disappearing|remnant|of|elderly,When|they|go|the|jealousy
nla.obj-507802495,1886-01-30,"FUL. SCENE: At the Sydney hiring of the Parthia’s Immigrants. NEW ARRIVAL (to lady ): “SIX CHILDREN, HAVE YE? ",hiring|of|the|Parthia|s,NEW|ARRIVAL|to|lady|SIX
nla.obj-507802495,1886-01-30,s the Herald. And then—“ His little speech to tne immigrants <>n board the his wel- coming words to the first ,His|little|speech|to|tne,n|board|the|his|wel
nla.obj-507802495,1886-01-30,"e paid for it —delivered by Lord Oarington to the immigrants the other day, would have been more effective had",by|Lord|Oarington|to|the,the|other|day|would|have
nla.obj-507802495,1886-01-30,"UL. SCENE : At the Sydney hiring of the Parthia’s Immigrants. NEW ARRIVAL (to lady ): “ SIX CHILDREN, HAVE YE?",hiring|of|the|Parthia|s,NEW|ARRIVAL|to|lady|SIX
nla.obj-507802495,1886-01-30,"s the Herald. And then—“ His little speech to toe immigrants <>n board the his wel- coming words to the first,",His|little|speech|to|toe,n|board|the|his|wel
nla.obj-507802495,1886-01-30," paid for it —delivered by Lord Oarit'gtou to the immigrants the other day, would have been more effective had",Lord|Oarit|gtou|to|the,the|other|day|would|have
nla.obj-507802519,1886-02-06, declare themselves Australians first and British immigrants in a secondary sense at the risk of forfeiting th,themselves|Australians|first|and|British,in|a|secondary|sense|at
nla.obj-507802519,1886-02-06,"d the immigration depot, to witness the hiring of immigrants, and whilst the roll was being called, the name o",to|witness|the|hiring|of,and|whilst|the|roll|was
nla.obj-507802519,1886-02-06, declare themselves Australians first and British immigrants in a secondary sense at the risk of forfeiting th,themselves|Australians|first|and|British,in|a|secondary|sense|at
nla.obj-507802519,1886-02-06,"d the immigration depot, to witness the hiring of immigrants, and whilst the roll was being called, the name o",to|witness|the|hiring|of,and|whilst|the|roll|was
nla.obj-507802556,1886-02-20,"true that in 1884 New South Wales gained 380 more immigrants than Victoria in the same year, but you must reme",South|Wales|gained|380|more,than|Victoria|in|the|same
nla.obj-507802556,1886-02-20,"in the same year, but you must remember that 7598 immigrants to this colony were brought out at the public ex-",you|must|remember|that|7598,to|this|colony|were|brought
nla.obj-507802556,1886-02-20,"true that in 1884 New South Wales gained 380 more immigrants than Victoria in the same year, but you must reme",South|Wales|gained|380|more,than|Victoria|in|the|same
nla.obj-507802556,1886-02-20,"in the same year, but you must remember that 7598 immigrants to this colony were brought out at the public ex-",you|must|remember|that|7598,to|this|colony|were|brought
nla.obj-507802610,1886-03-13,"bleaux ” picture, “ Lord CariDgton welcoming .the immigrants,” a difference at pre- sent apparently without mu",picture|Lord|CariDgton|welcoming|the,a|difference|at|pre|sent
nla.obj-507802610,1886-03-13,"bleaux ” picture, “ Lord Carington welcoming .the immigrants,” a difference at pre- sent apparently without mu",picture|Lord|Carington|welcoming|the,a|difference|at|pre|sent
nla.obj-507802632,1886-03-20,possess other advantages. So large an infusion of immigrants from Great Britain is still annually distilled in,So|large|an|infusion|of,from|Great|Britain|is|still
nla.obj-507802632,1886-03-20,possess other advantages. So large an infusion of immigrants from Great Britain is still annually distilled in,So|large|an|infusion|of,from|Great|Britain|is|still
nla.obj-507830727,1886-04-17,"ce, whose people he affects to despise, and whose immigrants he, with the assist- ance of Mr. Darley, Q.C , wo",affects|to|despise|and|whose,he|with|the|assist|ance
nla.obj-507830727,1886-04-17,"ce, whose people he affects to despise, and whose immigrants he, with the assist- ance of Mr. Darley, Q.C , wo",affects|to|despise|and|whose,he|with|the|assist|ance
nla.obj-513323856,1886-05-01," Agents-General of these colonies asking how many immigrants would be rectived in Australia, and how much woul",these|colonies|asking|how|many,would|be|rectived|in|Australia
nla.obj-513323856,1886-05-01,"olonies, may be dealt with in a few words. If the immigrants are to con- sist of indolent amd semi-criminal pa",a|few|words|If|the,are|to|con|sist|of
nla.obj-513323856,1886-05-01,"0 years, supplied America and Australia with more immigrants than has Ireland, yet the present inhabitants are",America|and|Australia|with|more,than|has|Ireland|yet|the
nla.obj-513323856,1886-05-01," efforts to erowd up N.S.W., and our bringing out immigrants by the ship-load, at the public cost. The younger",W|and|our|bringing|out,by|the|ship|load|at
nla.obj-513323856,1886-05-01," Agents-General of these colonies asking how many immigrants would be received in Australia, and how much woul",these|colonies|asking|how|many,would|be|received|in|Australia
nla.obj-513323856,1886-05-01,"olonies, may be dealt with in a few words. If the immigrants are to con- sist of indolent atnd semi-criminal p",a|few|words|If|the,are|to|con|sist|of
nla.obj-513323856,1886-05-01,"0 years, supplied America and Australia with more immigrants than has Ireland, yet the present inhabitants are",America|and|Australia|with|more,than|has|Ireland|yet|the
nla.obj-513323856,1886-05-01," efforts to crowd up N.S.W., and our bringing out immigrants by the ship-load, at the public cost. The younger",W|and|our|bringing|out,by|the|ship|load|at
