id,date,kwic,before,after
19560906_reps_22_hor12.xml,1956-09-06,ter to adjust the balance between the sexes among immigrants. ,balance|between|the|sexes|among,t|the|balance|between|the
19560906_reps_22_hor12.xml,1956-09-06,dwill in the nations from which we want to obtain immigrants and that in the long run a savagely reduced immig,which|we|want|to|obtain,and|that|in|the|long
19770420_senate_30_s72.xml,1977-04-20,"s much as in the past on the skills brought in by immigrants, on the strong belief that the young in Australia",the|skills|brought|in|by,on|the|strong|belief|that
19220713_senate_8_99.xml,1922-07-13,"y have the unemployable  Avith  us, we still want immigrants of the right type ; people who will be prepared t",Avith|us|we|still|want,of|the|right|type|people
19600928_reps_23_hor28.xml,1960-09-28,"munity. It is a delicate situation, because these immigrants have come from Asia, and if there is any inferior",a|delicate|situation|because|these,have|come|from|Asia|and
19011212_reps_1_7.xml,1901-12-12,"has an Act dealing with the importation of Indian immigrants, which is in absolute contradiction te this measu",with|the|importation|of|Indian,which|is|in|absolute|contradiction
19011212_reps_1_7.xml,1901-12-12,"easure. It provides for the importation of Indian immigrants under agreement to work for planters, and so fort",for|the|importation|of|Indian,under|agreement|to|work|for
19011212_reps_1_7.xml,1901-12-12, Commonwealth. Then it goes on to provide for the immigrants of European descent. But it appears to me that th,on|to|provide|for|the,of|European|descent|But|it
19571120_senate_22_s11.xml,1957-11-20," 10,000 fewer than in the previous year. Although immigrants are continuing to come to this country, the rate ",in|the|previous|year|Although,are|continuing|to|come|to
19571120_senate_22_s11.xml,1957-11-20,"rtage of houses was estimated at 115,350, 121,000 immigrants were brought to Australia. Apparently, the number",at|115|350|121|000,were|brought|to|Australia|Apparently
19571120_senate_22_s11.xml,1957-11-20,"e brought to Australia. Apparently, the number of immigrants who required homes was not taken into account whe",Australia|Apparently|the|number|of,who|required|homes|was|not
19571120_senate_22_s11.xml,1957-11-20,",350. I should say that at least one-fifth of the immigrants who come to Australia need homes. On that basis, ",least|one|fifth|of|the,who|come|to|Australia|need
19571120_senate_22_s11.xml,1957-11-20,"s, 24,000 homes should have been provided for the immigrants who arrived in Australia last year. Again, prospe",have|been|provided|for|the,who|arrived|in|Australia|last
19571120_senate_22_s11.xml,1957-11-20,"en generous in this regard. First of all, 121,000 immigrants came to Australia in the last financial year, and",First|of|all|121|000,came|to|Australia|in|the
19571120_senate_22_s11.xml,1957-11-20,"t financial year, and I say that one-fifth of the immigrants entering Australia require homes. ",that|one|fifth|of|the,the|immigrants|entering|Australia|require
19571120_senate_22_s11.xml,1957-11-20," the demand for housing created by the arrival of immigrants to this country. In 1947-48, there were 29,364 im",created|by|the|arrival|of,to|this|country|In|1947
19571120_senate_22_s11.xml,1957-11-20,"ts to this country. In 1947-48, there were 29,364 immigrants and in 1948-49, the number was 101,148. This figu",48|there|were|29|364,and|in|1948|49|the
19571120_senate_22_s11.xml,1957-11-20,"and we expect this year that there will be 98,840 immigrants. But the Government is making no provision in thi",there|will|be|98|840,But|the|Government|is|making
19571120_senate_22_s11.xml,1957-11-20, the growing housing needs of the Australians and immigrants. ,needs|of|the|Australians|and,housing|needs|of|the|Australians
19571120_senate_22_s11.xml,1957-11-20,"n sub-standard houses, newly married couples, and immigrants to obtain adequate housing I consider that the Co",houses|newly|married|couples|and,to|obtain|adequate|housing|I
19120704_SENATE_4_64.xml,1912-07-04,"kets in the cities, but one which would place the immigrants on lands where they are available. ",one|which|would|place|the,the|immigrants|on|lands|where
19120704_SENATE_4_64.xml,1912-07-04,ernment to have a voice in selecting the class of immigrants. ,in|selecting|the|class|of,ave|a|voice|in|selecting
19120704_SENATE_4_64.xml,1912-07-04,ernment to have a voice in selecting the class of immigrants. ,in|selecting|the|class|of,ave|a|voice|in|selecting
19120704_SENATE_4_64.xml,1912-07-04,"not think that the States are competent to select immigrants, too ? ",States|are|competent|to|select,States|are|competent|to|select
19120704_SENATE_4_64.xml,1912-07-04,"hey were to have no voice in the selection of the immigrants. I venture to say that this Government, or any ot",in|the|selection|of|the,I|venture|to|say|that
19720418_reps_27_hor77.xml,1972-04-18,e used to screen the mental health of prospective immigrants. ,the|mental|health|of|prospective,reen|the|mental|health|of
19720418_reps_27_hor77.xml,1972-04-18,n concerned with this aspect of the settlement of immigrants. Among the earliest research projects relating to,aspect|of|the|settlement|of,Among|the|earliest|research|projects
19720418_reps_27_hor77.xml,1972-04-18,esearch projects relating to the mental health of immigrants was a survey undertaken under the auspices of the,to|the|mental|health|of,was|a|survey|undertaken|under
19720418_reps_27_hor77.xml,1972-04-18,e general question of psychiatric breakdown among immigrants has been the subject of detailed research by a nu,question|of|psychiatric|breakdown|among,has|been|the|subject|of
19720418_reps_27_hor77.xml,1972-04-18,"vailable about the numbers and characteristics of immigrants in such institutions, it was decided that ah appr",the|numbers|and|characteristics|of,in|such|institutions|it|was
19610831_reps_23_hor32.xml,1961-08-31,e restrictions have been applied to the inflow of immigrants. The action has to be positive. The Australian pe,applied|to|the|inflow|of,The|action|has|to|be
19610831_reps_23_hor32.xml,1961-08-31,ralian people demand that the influx of unskilled immigrants should cease for the time being. ,that|the|influx|of|unskilled,illed|immigrants|should|cease|for
19290319_senate_11_120.xml,1929-03-19,"he sake of argument, that the States decided that immigrants should be brought to Australia, is not the Common",that|the|States|decided|that,should|be|brought|to|Australia
19290319_senate_11_120.xml,1929-03-19,from the States what they intend to do with those immigrants when they arrive? ,intend|to|do|with|those,end|to|do|with|those
19290319_senate_11_120.xml,1929-03-19,immigrants have a guarantee of employment. ,have|a|guarantee|of|employment,immigrants|have|a|guarantee|of
19290319_senate_11_120.xml,1929-03-19,"n other States. Until Australia is able to absorb immigrants it is a foolhardy policy, destined to create hard",Australia|is|able|to|absorb,it|is|a|foolhardy|policy
19430401_reps_16_174.xml,1943-04-01,"e present time detained here for being prohibited immigrants, as being without landing permits, herewith take ",detained|here|for|being|prohibited,as|being|without|landing|permits
19430401_reps_16_174.xml,1943-04-01,en officially informed that we all are prohibited immigrants. ,that|we|all|are|prohibited,y|informed|that|we|all
19591001_reps_23_hor24.xml,1959-10-01,"overnment attempts to mislead new Australians, or immigrants - call them what you will, they are coming here t",to|mislead|new|Australians|or,call|them|what|you|will
19591001_reps_23_hor24.xml,1959-10-01,"approximately 47 per cent, of the total intake of immigrants. I have had quite a deal to do with British peopl",of|the|total|intake|of,I|have|had|quite|a
19591001_reps_23_hor24.xml,1959-10-01,ack of assistance and co-operation that intending immigrants are receiving in the United Kingdom. ,and|co|operation|that|intending,g|immigrants|are|receiving|in
19591001_reps_23_hor24.xml,1959-10-01,lerate. These are some of the reasons why British immigrants do not come here. Those who are already here and ,of|the|reasons|why|British,do|not|come|here|Those
19591001_reps_23_hor24.xml,1959-10-01,,,
19591001_reps_23_hor24.xml,1959-10-01,trong publicity and propaganda campaign to inform immigrants of these facts. It should be done by personal con,and|propaganda|campaign|to|inform,of|these|facts|It|should
19591001_reps_23_hor24.xml,1959-10-01,"t me now refer to social services, as they affect immigrants. It has been pointed out to the Minister that in ",social|services|as|they|affect,It|has|been|pointed|out
19591001_reps_23_hor24.xml,1959-10-01,"after ten years, and in America after five years, immigrants are entitled to the age pension. In Australia the",in|America|after|five|years,are|entitled|to|the|age
19591001_reps_23_hor24.xml,1959-10-01,"mme, hoping to attract the best possible types of immigrants, says that the people they bring here must wait t",the|best|possible|types|of,says|that|the|people|they
19591001_reps_23_hor24.xml,1959-10-01,so that we may attract the best possible types of immigrants. 1 suggest that our programme at the moment is un,the|best|possible|types|of,1|suggest|that|our|programme
19591001_reps_23_hor24.xml,1959-10-01,"ything else of that kind. We want a wide range of immigrants from various parts of the world, rather than a la",want|a|wide|range|of,from|various|parts|of|the
19591001_reps_23_hor24.xml,1959-10-01,ed long ago. I remind honorable members that many immigrants bring little children with them. In the Melbourne,remind|honorable|members|that|many,bring|little|children|with|them
19760226_senate_30_s67.xml,1976-02-26,amnesty recently granted to prohibited or illegal immigrants cover persons who are in Australia legally as vis,granted|to|prohibited|or|illegal,cover|persons|who|are|in
19760217_reps_30_hor98.xml,1976-02-17, in its implementation of the Amnesty for Illegal Immigrants'. This House calls on the Minister to- ,of|the|Amnesty|for|Illegal,Immigrants|This|House|calls|on
19490928_reps_18_204.xml,1949-09-28,"ed the hundreds of thousands, or even millions of immigrants whom we expect to come to this country, when, acc",thousands|or|even|millions|of,whom|we|expect|to|come
19520226_reps_20_216.xml,1952-02-26,ing number of fatal road accidents among European immigrants while riding motor cycles. In many instances the ,fatal|road|accidents|among|European,while|riding|motor|cycles|In
19520226_reps_20_216.xml,1952-02-26,"ese accidents are due to ignorance on the part of immigrants of our road geography, traffic codes and language",ignorance|on|the|part|of,of|our|road|geography|traffic
19520226_reps_20_216.xml,1952-02-26,the issue of motor cyclists' licences to European immigrants until they have been resident in Australia for fr,motor|cyclists|licences|to|European,until|they|have|been|resident
19520226_reps_20_216.xml,1952-02-26,member has raised has been - conveyed to European immigrants in the publications that circulate among them. Ho,has|been|conveyed|to|European,in|the|publications|that|circulate
19520226_reps_20_216.xml,1952-02-26,ed for primary industries. I understand that some immigrants have already arrived under this classification. W,industries|I|understand|that|some,have|already|arrived|under|this
19520226_reps_20_216.xml,1952-02-26,Immigration indicate the countries in which these immigrants are being selected and the proportion of experien,the|countries|in|which|these,are|being|selected|and|the
19520226_reps_20_216.xml,1952-02-26,,,
19520226_reps_20_216.xml,1952-02-26,ealth Employment Service. The allocation of these immigrants among the States will depend largely upon the dem,Service|The|allocation|of|these,among|the|States|will|depend
19510613_reps_20_213.xml,1951-06-13,farmers and others from sponsoring British family immigrants who would be prepared to come to Australia and se,others|from|sponsoring|British|family,who|would|be|prepared|to
19510613_reps_20_213.xml,1951-06-13,o provide the necessary accommodation for British immigrants? ,the|necessary|accommodation|for|British,e|necessary|accommodation|for|British
19510613_reps_20_213.xml,1951-06-13, fact that an alarmingly high percentage of child immigrants from displaced persons camps in Italy and Germany,alarmingly|high|percentage|of|child,from|displaced|persons|camps|in
19510613_reps_20_213.xml,1951-06-13,s for a tightening-up of the medical screening of immigrants from Europe in order to ensure that new arrivals ,of|the|medical|screening|of,from|Europe|in|order|to
19510613_reps_20_213.xml,1951-06-13," fact, there is a very close medical screening of immigrants who have come into Australia under schemes of Com",very|close|medical|screening|of,who|have|come|into|Australia
19380504_reps_15_155.xml,1938-05-04,he supply figures showing (a) the total number of immigrants who have entered Queensland during the calendar y,a|the|total|number|of,who|have|entered|Queensland|during
19380504_reps_15_155.xml,1938-05-04,"ed 31st March, 1938, and (b) the nationalities of immigrants who have entered Queensland during the periods me",and|b|the|nationalities|of,who|have|entered|Queensland|during
19380504_reps_15_155.xml,1938-05-04,tion to furnish the undermentioned particulars of immigrants who landed as permanent new arrivals in Queenslan,furnish|the|undermentioned|particulars|of,who|landed|as|permanent|new
19380504_reps_15_155.xml,1938-05-04,,,
19260811_reps_10_114.xml,1926-08-11,pon the mentality of some of the recently arrived immigrants who have come under their notice. It is true that,some|of|the|recently|arrived,who|have|come|under|their
19760324_reps_30_hor98.xml,1976-03-24,is Department is holding on behalf of prospective immigrants from Lebanon? Has any consideration been given to,holding|on|behalf|of|prospective,from|Lebanon|Has|any|consideration
19510621_senate_20_213.xml,1951-06-21,"r many years has been responsible for a number of immigrants coming to this country. Until recently, when he w",responsible|for|a|number|of,coming|to|this|country|Until
19510621_senate_20_213.xml,1951-06-21,y he is not now permitted to nominate prospective immigrants. ,now|permitted|to|nominate|prospective,now|permitted|to|nominate|prospective
19510621_senate_20_213.xml,1951-06-21,to Australia will not help. ,to|Australia|will|not|help,to|Australia|will|not|help
19510621_senate_20_213.xml,1951-06-21,,,
19510621_senate_20_213.xml,1951-06-21, immigrants are wanted as cannon fodder. ,are|wanted|as|cannon|fodder,immigrants|are|wanted|as|cannon
19510621_senate_20_213.xml,1951-06-21," cities and go to the country. Instead of herding immigrants in thousands in reception camps, we should distri",the|country|Instead|of|herding,in|thousands|in|reception|camps
19510621_senate_20_213.xml,1951-06-21,e been informed that one quarter of the number pf immigrants brought to Australia during the last few years ca,quarter|of|the|number|pf,brought|to|Australia|during|the
19520812_reps_20_218.xml,1952-08-12,"he destruction of  property,  and as thousands of immigrants and others are workless. will the Treasurer make ",property|and|as|thousands|of,and|others|are|workless|will
19520812_reps_20_218.xml,1952-08-12,he  Government's  employment obligations to  the  immigrants? ,s|employment|obligations|to|the,nt|s|employment|obligations|to
19520812_reps_20_218.xml,1952-08-12,talians in the immigrant camp at Bonegilla. Those immigrants are personalities. They have souls with the same ,immigrant|camp|at|Bonegilla|Those,are|personalities|They|have|souls
19520812_reps_20_218.xml,1952-08-12,"What has the Government done about these men? The immigrants, full of hope, pride and anticipation, attempted ",done|about|these|men|The,full|of|hope|pride|and
19520812_reps_20_218.xml,1952-08-12," is a disgrace and is an indefensible action. The immigrants were brought to this country, where our customs a",is|an|indefensible|action|The,were|brought|to|this|country
19520812_reps_20_218.xml,1952-08-12, first week after the demonstration in Albury 400 immigrants were taken out of Bonegilla camp and sent to the ,the|demonstration|in|Albury|400,were|taken|out|of|Bonegilla
19520812_reps_20_218.xml,1952-08-12,"munity would forget all about its handling of the immigrants. The second week after the demonstration 600, and",about|its|handling|of|the,The|second|week|after|the
19520812_reps_20_218.xml,1952-08-12,grace. Our economy should be able to absorb these immigrants easily and readily. These people look out from Bo,be|able|to|absorb|these,easily|and|readily|These|people
19520812_reps_20_218.xml,1952-08-12,ered together for the purpose of intimidating the immigrants. I have stated the facts. I leave the issue there,the|purpose|of|intimidating|the,I|have|stated|the|facts
19571030_senate_22_s11.xml,1957-10-30,e of the Department of Civil Aviation by European immigrants in South Australia as a loyal gesture to  Her  Ma,of|Civil|Aviation|by|European,in|South|Australia|as|a
19571030_senate_22_s11.xml,1957-10-30,,,
19571030_senate_22_s11.xml,1957-10-30,"r they were examined prior to being' enlisted' as immigrants to this country, ro see whether they had traces o",prior|to|being|enlisted|as,to|this|country|ro|see
19571030_senate_22_s11.xml,1957-10-30,tuberculosis. I should like to know whether these immigrants have been further examined after their arrival he,like|to|know|whether|these,have|been|further|examined|after
19540408_senate_20_s3.xml,1954-04-08,se people constitute an unduly high proportion of immigrants is the Minister satisfied with the present method,an|unduly|high|proportion|of,is|the|Minister|satisfied|with
19540408_senate_20_s3.xml,1954-04-08,er satisfied with the present method of selecting immigrants in Europe or will he give attention to having the,the|present|method|of|selecting,in|Europe|or|will|he
19540408_senate_20_s3.xml,1954-04-08,an unduly large proportion of the total number of immigrants. When new Australians are implicated in a crime t,of|the|total|number|of,When|new|Australians|are|implicated
19651210_senate_25_s30.xml,1965-12-10,"e total population was 4,914. The total number of immigrants was 2,253. The number of Nauruans is now 2,814. ",914|The|total|number|of,s|was|2|253|The
19621010_reps_24_hor36.xml,1962-10-10," during his recent tour of Europe recruiting more immigrants for Australia, emphasized Australia's special nee",tour|of|Europe|recruiting|more,for|Australia|emphasized|Australia|s
19621010_reps_24_hor36.xml,1962-10-10,"mind was that of the imbalance of the sexes among immigrants,  to  which honorable members have often referred",imbalance|of|the|sexes|among,to|which|honorable|members|have
19611010_reps_23_hor33.xml,1961-10-10,"ation, which involves attracting large numbers of immigrants, we must try to establish heavy industries in Aus",involves|attracting|large|numbers|of,we|must|try|to|establish
19541014_senate_21_s4.xml,1954-10-14,"rmers' sons. I believe that this attitude towards immigrants is wrong. Our great task, under the United Nation",believe|that|this|attitude|towards,is|wrong|Our|great|task
19541014_senate_21_s4.xml,1954-10-14,"t is in the north. I am not suggesting that these immigrants should go to Darwin. A.a matter of fact, after I ",am|not|suggesting|that|these,should|go|to|Darwin|A
19541014_senate_21_s4.xml,1954-10-14, information of that kind is given to prospective immigrants. I think it is time that we overhauled our repres,kind|is|given|to|prospective,I|think|it|is|time
19541014_senate_21_s4.xml,1954-10-14, who know our requirements and can give intending immigrants proper information and advice. ,requirements|and|can|give|intending,tending|immigrants|proper|information|and
19250924_senate_9_111.xml,1925-09-24,"e Imperial Government for the settling of British immigrants on our land, with a view to developing our undoub",for|the|settling|of|British,on|our|land|with|a
19020926_reps_1_12.xml,1902-09-26,"es, such as the regular appearance of a number of immigrants of any particular nationality. It does not follow",appearance|of|a|number|of,of|any|particular|nationality|It
19520221_reps_20_216.xml,1952-02-21,"attempting to aid in this connexion by allocating immigrants to all these agricultural machinery works, and pl",in|this|connexion|by|allocating,to|all|these|agricultural|machinery
19520221_reps_20_216.xml,1952-02-21, been able to take advantage of that achievement. Immigrants were brought to Australia also to assist the buil,take|advantage|of|that|achievement,were|brought|to|Australia|also
19520221_reps_20_216.xml,1952-02-21," Australian people, including the large number of immigrants who are coming into the country. As we all know, ",including|the|large|number|of,who|are|coming|into|the
19520221_reps_20_216.xml,1952-02-21," who are coming into the country. As we all know, immigrants do not need houses during the early period after ",country|As|we|all|know,do|not|need|houses|during
19610509_reps_23_hor31.xml,1961-05-09," year for our own children leaving school and for immigrants, it was also anticipated that the biggest absorbe",children|leaving|school|and|for,it|was|also|anticipated|that
19610509_reps_23_hor31.xml,1961-05-09,,,
19450927_reps_17_185.xml,1945-09-27, its safety against attack. It is no use bringing immigrants here if we cannot provide employment for them and,It|is|no|use|bringing,here|if|we|cannot|provide
19760401_reps_30_hor98.xml,1976-04-01,ulties of obtaining necessary checks of potential immigrants including health checks. Honourable members will.,obtaining|necessary|checks|of|potential,including|health|checks|Honourable|members
19470424_reps_18_191.xml,1947-04-24,ver-increasing role in the temporary reception of immigrants for all parts of the Commonwealth. ,in|the|temporary|reception|of,of|immigrants|for|all|parts
19470424_reps_18_191.xml,1947-04-24,"al point when this can be done. We should put the immigrants down at Fremantle, and move them around the coast",done|We|should|put|the,down|at|Fremantle|and|move
19470424_reps_18_191.xml,1947-04-24,not very helpful if he really complained that the immigrants should not be put down in Western Australia becau,he|really|complained|that|the,should|not|be|put|down
19470424_reps_18_191.xml,1947-04-24,,,
19470424_reps_18_191.xml,1947-04-24,he position. This is the first I have heard about immigrants being dumped in Western Australia. The usual comp,first|I|have|heard|about,being|dumped|in|Western|Australia
19460806_senate_17_188.xml,1946-08-06,e of sport in that publication would attract more immigrants from the Homeland than a reminder of our kinship ,that|publication|would|attract|more,from|the|Homeland|than|a
19591126_reps_23_hor25.xml,1959-11-26,"ernment, especially those caused by the inflow of immigrants to Australia, which brings in its train financial",caused|by|the|inflow|of,to|Australia|which|brings|in
19240507_reps_9_106.xml,1924-05-07,"dustries going, or there will not be work for the immigrants. I stand to-day where I have always stood in conn",not|be|work|for|the,I|stand|to|day|where
19271122_reps_10_116.xml,1927-11-22," more properly, "" invisible "" debits and credits. Immigrants remittances and American tourist expenditure abro",properly|invisible|debits|and|credits,remittances|and|American|tourist|expenditure
19641022_senate_25_s27.xml,1964-10-22,"nance of migrant families. I understand that when immigrants have resided in South America, North America or W",families|I|understand|that|when,have|resided|in|South|America
19641022_senate_25_s27.xml,1964-10-22,dependants? Has the Government considered whether immigrants to Australia could enter a voluntary superannuati,Has|the|Government|considered|whether,to|Australia|could|enter|a
19641022_senate_25_s27.xml,1964-10-22,"e of aged parents in their own country, since the immigrants are taxpayers here? ",their|own|country|since|the,country|since|the|immigrants|are
19641022_senate_25_s27.xml,1964-10-22, any disabilities were suffered by United Kingdom immigrants who were British subjects but did not register as,were|suffered|by|United|Kingdom,who|were|British|subjects|but
19210428_reps_8_95.xml,1921-04-28,uit fly and other pests. If returned soldiers and immigrants were directed into enterprises like the growing o,pests|If|returned|soldiers|and,were|directed|into|enterprises|like
19481110_senate_18_199.xml,1948-11-10,"ntly expects that in the next three years 250,000 immigrants will be landed on our shores. Details of the Gove",next|three|years|250|000,will|be|landed|on|our
19350927_reps_14_147.xml,1935-09-27,"at would permit of a regular flow to Australia of immigrants, preferably of British stock, will the Prime Mini",regular|flow|to|Australia|of,preferably|of|British|stock|will
19550524_reps_21_hor6.xml,1955-05-24,en directed to a complaint against the calibre of immigrants who arrived in Sydney last week aboard an immigra,complaint|against|the|calibre|of,who|arrived|in|Sydney|last
19550524_reps_21_hor6.xml,1955-05-24,engers were clean and orderly. I may say that the immigrants in question had come from southern Europe - Greec,I|may|say|that|the,in|question|had|come|from
19550524_reps_21_hor6.xml,1955-05-24," to which we are accustomed. Normally, when these immigrants come out by ship, an opportunity is provided for ",are|accustomed|Normally|when|these,come|out|by|ship|an
19550524_reps_21_hor6.xml,1955-05-24,"aken. We have discovered that, in other respects, immigrants of this type are very admirable and industrious p",discovered|that|in|other|respects,of|this|type|are|very
19550524_reps_21_hor6.xml,1955-05-24, are very admirable and industrious people. These immigrants are the same calibre and type of Greeks as those ,admirable|and|industrious|people|These,are|the|same|calibre|and
19550524_reps_21_hor6.xml,1955-05-24,"ypes of services. Although such a large influx of immigrants will have an inflationary effect temporarily, in ",such|a|large|influx|of,will|have|an|inflationary|effect
19550524_reps_21_hor6.xml,1955-05-24,lated into the community life of the nation. Some immigrants from the United Kingdom are being pressed by a go,life|of|the|nation|Some,from|the|United|Kingdom|are
19550524_reps_21_hor6.xml,1955-05-24,"ived the encouragement that should be extended to immigrants from the United Kingdom, who are, I believe, the ",that|should|be|extended|to,from|the|United|Kingdom|who
19550524_reps_21_hor6.xml,1955-05-24," the United Kingdom, who are, I believe, the best immigrants that we can have. We want to ensure that a high p",are|I|believe|the|best,that|we|can|have|We
19550524_reps_21_hor6.xml,1955-05-24,. We want to ensure that a high percentage of the immigrants who are coming here will be people of our own kit,a|high|percentage|of|the,who|are|coming|here|will
19550524_reps_21_hor6.xml,1955-05-24,e people of our own kith and kin. We want British immigrants to be well satisfied with their lives in Australi,and|kin|We|want|British,to|be|well|satisfied|with
19550524_reps_21_hor6.xml,1955-05-24,"eek, making a total tariff of £2 10s. a week. The immigrants greatly resented the fact that the increases were",2|10s|a|week|The,greatly|resented|the|fact|that
19550524_reps_21_hor6.xml,1955-05-24,"tter. As this has not been done, I say that these immigrants have a perfect right to protest. They decided tha",done|I|say|that|these,have|a|perfect|right|to
19550524_reps_21_hor6.xml,1955-05-24,e years have passed since this happened and these immigrants have left the hostels and become assimilated in o,since|this|happened|and|these,have|left|the|hostels|and
19550524_reps_21_hor6.xml,1955-05-24, claims of the Government as well as those of the immigrants concerned. The Minister indicated in his reply to,well|as|those|of|the,concerned|The|Minister|indicated|in
19550524_reps_21_hor6.xml,1955-05-24," that it was paid. That may be true, but if these immigrants have a just claim, in accordance with the provisi",be|true|but|if|these,have|a|just|claim|in
19550524_reps_21_hor6.xml,1955-05-24,"longs, not to the people of Australia, but to the immigrants themselves. That being so, I earnestly suggest th",of|Australia|but|to|the,themselves|That|being|so|I
19550524_reps_21_hor6.xml,1955-05-24,onfident that all honorable members consider that immigrants should receive better treatment and that the pens,all|honorable|members|consider|that,should|receive|better|treatment|and
19491026_senate_18_205.xml,1949-10-26,of sites and buildings for hostels to accommodate immigrants. The amount proposed to be appropriated for that ,buildings|for|hostels|to|accommodate,The|amount|proposed|to|be
